"Game","ReleaseDate","Genre","TotalEarnings","OfflineEarnings","PercentOffline","TotalPlayers","TotalTournaments"
"Unreal Tournament",1999,"First-Person Shooter",89000,89000,1,14,5
"Unreal Tournament (2016)",2016,"First-Person Shooter",5084.97,0,0,82,8
"Unreal Tournament 2003",2002,"First-Person Shooter",147473.91,147473.91,1,33,14
"Unreal Tournament 2004",2004,"First-Person Shooter",152421.78,151871.78,0.996391591805318,54,14
"Unreal Tournament 3",2007,"First-Person Shooter",104977.82,104977.82,1,7,4
"Vail VR",2022,"First-Person Shooter",0,0,NA,0,0
"VAIL VR",2022,"First-Person Shooter",36000,35000,0.972222222222222,30,2
"VALORANT",2020,"First-Person Shooter",32018215.37,19298867.52,0.602746508416656,7465,1316
"Warface",2013,"First-Person Shooter",109555,109555,1,32,2
"Warsow",2012,"First-Person Shooter",183,0,0,2,1
"Wolfenstein: Enemy Territory",2003,"First-Person Shooter",140963.24,138376.87,0.981652166905358,152,18
"Xonotic",2010,"First-Person Shooter",14935.01,26.07,0.001745562942375,96,44
"Zombieland VR: Headshot Fever",2021,"First-Person Shooter",10000,0,0,4,1
"Zula",2015,"First-Person Shooter",162500,160000,0.984615384615385,38,3
"Arena of Valor",2015,"Multiplayer Online Battle Arena",98746138.92,94528965.41,0.957292775635343,2231,179
"Battlerite",2016,"Multiplayer Online Battle Arena",65227.95,28000,0.429263835518363,88,76
"Blankos Block Party",2020,"Multiplayer Online Battle Arena",250,0,0,3,1
"Bloodline Champions",2011,"Multiplayer Online Battle Arena",41905.32,40850,0.974816562670324,43,12
"Crab Game",2021,"Multiplayer Online Battle Arena",45950,44000,0.957562568008705,32,11
"Creative Destruction",2018,"Multiplayer Online Battle Arena",1e+05,0,0,8,1
"Deadlock",2024,"Multiplayer Online Battle Arena",12610,0,0,27,4
"Defense of the Ancients",2003,"Multiplayer Online Battle Arena",918125.6,878963.63,0.957345737881614,504,105
"Dofus",2004,"Multiplayer Online Battle Arena",0,0,NA,0,0
"Dota 2",2013,"Multiplayer Online Battle Arena",360461163.42,313554838.46,0.869871348927135,4980,1934
"Dream Three Kingdoms 2",2015,"Multiplayer Online Battle Arena",0,0,NA,0,1
"Heavy Metal Machines",2017,"Multiplayer Online Battle Arena",12339.33,0,0,35,1
"Heroes of Newerth",2010,"Multiplayer Online Battle Arena",3073445.72,1722436.17,0.560425114649495,820,395
"Heroes of the Storm",2015,"Multiplayer Online Battle Arena",18464719.38,14254535.64,0.771987667217935,1326,506
"Hyper Scape",2020,"Multiplayer Online Battle Arena",299000,0,0,260,4
"League of Legends",2009,"Multiplayer Online Battle Arena",113596024.63,98546688.28,0.867518811516353,9588,3000
"League of Legends: Wild Rift",2021,"Multiplayer Online Battle Arena",11193427.98,8310360.3,0.742432105236094,1473,117
"Legend of Glory",2015,"Multiplayer Online Battle Arena",472.66,0,0,0,1
"Minecraft",2011,"Multiplayer Online Battle Arena",3008059.15,199650,0.066371700170856,613,142
"MOBA Legends",2016,"Multiplayer Online Battle Arena",225,0,0,3,1
"Mobile Legends: Bang Bang",2016,"Multiplayer Online Battle Arena",17019451.87,15261734.15,0.896723012384535,2261,155
"Onmyoji Arena",2018,"Multiplayer Online Battle Arena",89679.22,89679.22,1,5,1
"Pokemon Unite",2021,"Multiplayer Online Battle Arena",2802324.2,1849037.5,0.65982283563051,850,61
"Roblox",2006,"Multiplayer Online Battle Arena",0,0,NA,0,0
"Shards of War",2015,"Multiplayer Online Battle Arena",1029.21,0,0,20,1
"SMITE",2014,"Multiplayer Online Battle Arena",12580110.75,10017832.57,0.796323082449811,556,110
"Splitgate: Arena Warfare",2019,"Multiplayer Online Battle Arena",360000,0,0,92,4
"Teeworlds",2007,"Multiplayer Online Battle Arena",0,0,NA,0,0
"Vainglory",2014,"Multiplayer Online Battle Arena",937421.19,836825.87,0.892689304367016,262,36
"Blade & Soul",2012,"Role-Playing Game",679006.26,679006.26,1,89,7
"Cave Digger 2",2021,"Role-Playing Game",750,0,0,4,1
"Chivalry 2",2021,"Role-Playing Game",0,0,NA,0,0
"Guild Wars 2",2012,"Role-Playing Game",476005.5,350000,0.735285621699749,152,57
"Naraka: Bladepoint",2021,"Role-Playing Game",4357330.52,3922900,0.900298928895575,177,14
"Old School Runescape",2013,"Role-Playing Game",457504.2,28500,0.0622945100831861,84,26
"Red Stone",2004,"Role-Playing Game",58000,58000,1,12,2
"Stardew Valley",2016,"Role-Playing Game",97850,0,0,69,3
"Tibia",1997,"Role-Playing Game",952.94,952.94,1,1,1
"World of WarCraft",2004,"Role-Playing Game",9150537.61,5081388.91,0.555310422903119,503,225
"Acceleration of SUGURI 2",2018,"Fighting Game",410,210,0.51219512195122,8,3
"Akatsuki Blitzkampf",2007,"Fighting Game",20,0,0,3,1
"Aquapazza: Aquaplus Dream Match",2011,"Fighting Game",245,245,1,5,2
"Arcana Heart 3",2009,"Fighting Game",1000,1000,1,4,1
"Arcana Heart 3: Love Max Six Stars!!!!!",2014,"Fighting Game",570,520,0.912280701754386,8,4
"Arcana Heart 3: LOVE MAX!!!!!",2013,"Fighting Game",410,410,1,6,2
"ARMS",2017,"Fighting Game",22759.9,13672.93,0.600746488341337,133,116
"Asuka 120% LimitOver BURNING Fest.",1998,"Fighting Game",10,0,0,3,1
"Attack on Titan Tribute Game",2013,"Fighting Game",108650,0,0,21,15
"BlazBlue: Calamity Trigger",2008,"Fighting Game",35,35,1,3,1
"BlazBlue: Central Fiction",2015,"Fighting Game",106192.78,105895.94,0.997204706383993,130,57
"BlazBlue: Chronophantasma",2012,"Fighting Game",37020.58,37020.58,1,63,15
"BlazBlue: Chronophantasma Extend",2015,"Fighting Game",4918.77,4918.77,1,28,11
"BlazBlue: Continuum Shift Extend",2011,"Fighting Game",0,0,NA,3,1
"BlazBlue: Continuum Shift II",2010,"Fighting Game",24591.01,24591.01,1,14,5
"BlazBlue: Cross Tag Battle",2018,"Fighting Game",98682.7,96434.31,0.977215965919052,133,43
"Bloody Roar Extreme",2002,"Fighting Game",1370,1370,1,3,1
"Brawlhalla",2015,"Fighting Game",4268987.83,1074264.04,0.251643734482138,880,698
"Brawlout",2017,"Fighting Game",0,0,NA,0,0
"Breakers Revenge",1998,"Fighting Game",16,0,0,3,1
"Capcom vs. SNK",2000,"Fighting Game",140,140,1,6,2
"Capcom vs. SNK 2",2001,"Fighting Game",25966.79,25966.79,1,39,24
"Chaos Code: New Sign of Catastrophe",2013,"Fighting Game",140,140,1,3,1
"Dead or Alive 4",2005,"Fighting Game",497745.31,497745.31,1,45,13
"Dead or Alive 5",2012,"Fighting Game",0,0,NA,4,2
"Dead or Alive 5 Ultimate",2013,"Fighting Game",0,0,NA,37,7
"Dead or Alive 5: Last Round",2015,"Fighting Game",15413.82,15413.82,1,46,20
"Dead or Alive 6",2019,"Fighting Game",64742.54,63632.54,0.982855167560618,67,21
"Dead or Alive Ultimate",2004,"Fighting Game",30000,30000,1,3,1
"Def Jam: Fight for NY",2004,"Fighting Game",550,360,0.654545454545455,6,3
"Dengeki Bunko: Fighting Climax",2014,"Fighting Game",60,60,1,3,1
"Dengeki Bunko: Fighting Climax Ignition",2015,"Fighting Game",3852.8,3667.3,0.951853197674419,40,14
"Digimon Rumble Arena",2001,"Fighting Game",200,0,0,5,2
"Divekick",2013,"Fighting Game",5840,5840,1,27,11
"DNF Duel",2022,"Fighting Game",129145.48,128145.48,0.992256794430591,53,13
"Dragon Ball FighterZ",2018,"Fighting Game",518915.52,491873.16,0.947886777408392,300,183
"Dragon Ball Z: Budokai 3",2004,"Fighting Game",204.06,204.06,1,3,1
"Duck Game",2014,"Fighting Game",750,0,0,5,2
"Eternal Fighter Zero",2000,"Fighting Game",1311.6,0,0,7,2
"Fantasy Strike",2019,"Fighting Game",5799.8,2610,0.450015517776475,21,5
"Fight of Animals",2019,"Fighting Game",630.68,0,0,9,4
"Fighter's History Dynamite",1994,"Fighting Game",195,195,1,3,1
"Fighting EX Layer",2018,"Fighting Game",1642.96,1632.96,0.993913424550811,16,7
"Garou: Mark of the Wolves",1999,"Fighting Game",658.71,513.71,0.779872781648981,13,4
"Granblue Fantasy Versus: Rising",2023,"Fighting Game",154742.8,151802.8,0.981000731536459,79,22
"Granblue Fantasy: Versus",2020,"Fighting Game",205435.88,171364.77,0.834152096508166,125,87
"Guilty Gear",1998,"Fighting Game",32,32,1,3,1
"Guilty Gear -STRIVE-",2021,"Fighting Game",694848.84,595274.73,0.85669673133512,319,116
"Guilty Gear Xrd -REVELATOR-",2016,"Fighting Game",36437.43,36437.43,1,61,19
"Guilty Gear Xrd -SIGN-",2014,"Fighting Game",38065.66,38065.66,1,82,39
"Guilty Gear Xrd REV 2",2017,"Fighting Game",145852.1,145657.1,0.998663029191901,136,67
"Guilty Gear XX",2002,"Fighting Game",0,0,NA,5,2
"Guilty Gear XX #Reload",2003,"Fighting Game",0,0,NA,3,1
"Guilty Gear XX Accent Core",2007,"Fighting Game",10365,10365,1,33,4
"Guilty Gear XX Accent Core Plus",2008,"Fighting Game",0,0,NA,3,1
"Guilty Gear XX Accent Core Plus R",2012,"Fighting Game",20680.9,12408.76,0.60001063783491,97,35
"Guilty Gear XX Slash",2005,"Fighting Game",10250,10250,1,6,2
"Hokuto no Ken",2005,"Fighting Game",145,145,1,3,1
"Hyper Street Fighter II",2003,"Fighting Game",10250,10250,1,8,1
"HYPERFIGHT",2019,"Fighting Game",140,0,0,4,2
"Idol Showdown",2023,"Fighting Game",188,188,1,3,1
"Injustice 2",2017,"Fighting Game",837447.16,836014.57,0.99828933684604,81,38
"Injustice: Gods Among Us",2013,"Fighting Game",35176.89,35176.89,1,101,117
"JoJo's Bizarre Adventure: All Star Battle R",2022,"Fighting Game",780,780,1,8,1
"JoJo's Bizarre Adventure: Heritage for the Future",1999,"Fighting Game",324.99,0,0,8,3
"Kill la Kill the Game: IF",2019,"Fighting Game",920,770,0.83695652173913,12,4
"Killer Instinct (2013)",2013,"Fighting Game",268193.54,268123.54,0.999738994459001,137,59
"King of Fighters 2002 Unlimited Match",2009,"Fighting Game",760,760,1,6,2
"King of Fighters 98",1998,"Fighting Game",7945.57,7945.57,1,7,3
"King of Fighters XI",2005,"Fighting Game",25,25,1,3,1
"King of Fighters XIII",2010,"Fighting Game",46294.28,46294.28,1,106,44
"King of Fighters XIV",2016,"Fighting Game",83801.59,82941.59,0.989737664882015,95,41
"King of Fighters XV",2022,"Fighting Game",368613.14,341929.72,0.927611316297623,179,51
"Kirby Fighters 2",2020,"Fighting Game",222.86,0,0,4,1
"Koihime Enbu",2016,"Fighting Game",1765,1615,0.915014164305949,14,7
"Lethal League Blaze",2018,"Fighting Game",5643.92,1677.75,0.297266793292605,25,12
"Maiden & Spell",2020,"Fighting Game",325,0,0,5,2
"Marvel vs. Capcom 2",2000,"Fighting Game",39279.73,39269.73,0.999745415765332,68,29
"Marvel vs. Capcom 3",2011,"Fighting Game",22343.62,22343.62,1,38,12
"Marvel vs. Capcom: Infinite",2017,"Fighting Game",76256.72,76202.12,0.999283997528349,60,22
"Melty Blood: Actress Again",2009,"Fighting Game",0,0,NA,10,2
"Melty Blood: Actress Again Current Code",2010,"Fighting Game",12937.44,10172.51,0.786284612720909,73,25
"Melty Blood: Type Lumina",2021,"Fighting Game",63817.23,63817.23,1,72,23
"Mighty Fight Federation",2021,"Fighting Game",100,0,0,3,1
"Million Arthur: Arcana Blood",2017,"Fighting Game",7540,7530,0.99867374005305,12,4
"Mordhau",2019,"Fighting Game",16623,0,0,40,3
"Mortal Kombat 1",2023,"Fighting Game",344710.47,289710.47,0.840445809493399,129,26
"Mortal Kombat 11",2019,"Fighting Game",611478.76,519216.56,0.849116263662208,236,64
"Mortal Kombat 9",2011,"Fighting Game",136891.67,136891.67,1,67,26
"Mortal Kombat vs. DC Universe",2008,"Fighting Game",0,0,NA,3,1
"Mortal Kombat X",2015,"Fighting Game",563532.42,563532.42,1,100,62
"Mortal Kombat XL",2016,"Fighting Game",134263.79,129263.79,0.962759877402537,56,19
"MultiVersus",2022,"Fighting Game",114202.5,100151.5,0.8769641645323,59,10
"Mystery Game Tournament",2019,"Fighting Game",10995,10995,1,56,8
"Naruto Shippuden: Ultimate Ninja Storm 4",2016,"Fighting Game",4550,2000,0.43956043956044,7,5
"Naruto: Gekitou Ninja Taisen! 4",2005,"Fighting Game",200,0,0,3,1
"Ninja Legends",2019,"Fighting Game",1000,0,0,6,1
"Nitroplus Blasterz: Heroines Infinite Duel",2015,"Fighting Game",1994,1994,1,10,4
"Persona 4 Arena",2012,"Fighting Game",6336.63,6336.63,1,42,11
